DATA,LOJA,PREÇO
16/02/2020,MERCANTIL NOVA ERA LTDA,"31,9"
17/02/2020,ATACADAO S.A.,"90,02"
19/02/2020,COMERCIAL ALEXS COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,"59,88"
20/02/2020,RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA,"168,99"
22/02/2020,MERCANTIL NOVA ERA LTDA,"228,91"
22/02/2020,BONNA VITTA INDUSTRIA E COMERCIO LTDA,"14,5"
22/02/2020,RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA,"268,4"
22/02/2020,SUPERMERCADOS DB LTDA,"427,25"
22/02/2020,ATACADAO S.A.,"288,48"
22/02/2020,RL COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,111
26/02/2020,SUPERMERCADOS DB LTDA,"12,43"
27/02/2020,RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA,"188,01"
28/02/2020,SUPERMERCADOS DB LTDA,"137,92"
28/02/2020,IBBY COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,"67,14"
29/02/2020,MERCANTIL NOVA ERA LTDA,"286,62"
29/02/2020,RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA,"195,04"
29/02/2020,SUPERMERCADOS DB LTDA,"234,38"
